20-08-06 20:39:40.198 -05	0414	INF:	LogFluidicsPressurePerCycle start	-- AnalyticsRunManager.cs,	LogFluidicsPressurePerCycle,	358
20-08-06 20:39:40.200 -05	0414	TRC:	IX Tx (16002831): FCH {"IxType":"ix_oas_pressure_get","average":true,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_oas_pressure_get_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002831} sent for gateway 62838430	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:40.209 -05	0357	INF:	=================== Move Tilt Motor Front Right (Cone) ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:40.209 -05	0357	TRC:	IX Tx (16002833): FCH {"IxType":"ix_tip_tilt_get_position","motor":"cone","ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_tip_tilt_motion_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002833} sent for gateway 42204026	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:40.210 -05	0015	INF:	=================== Move Tilt Motor Left (Flat) ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:39:40.211 -05	0015	TRC:	IX Tx (16002834): FCH {"IxType":"ix_tip_tilt_get_position","motor":"flat","ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_tip_tilt_motion_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002834} sent for gateway 61583146	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:40.215 -05	0305	TRC:	IX Rx (16002833): FCH {"IxType":"ix_tip_tilt_motion_rsp","IxID":16002833,"motor":"cone","position_nm":5206250,"first_error_nm":0,"final_error_nm":0,"move_attempts":0,"Exception":"ix_exception_id_success","Message":""} for gateway 42204026	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:40.216 -05	0311	TRC:	IX Rx (16002834): FCH {"IxType":"ix_tip_tilt_motion_rsp","IxID":16002834,"motor":"flat","position_nm":5416250,"first_error_nm":0,"final_error_nm":0,"move_attempts":0,"Exception":"ix_exception_id_success","Message":""} for gateway 61583146	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:40.216 -05	0015	TRC:	IX Tx (16002836): FCH {"IxType":"ix_tip_tilt_move","motor":"flat","position_nm":5302500,"max_retries":3,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_tip_tilt_motion_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002836} sent for gateway 61583146	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:40.215 -05	0357	TRC:	IX Tx (16002835): FCH {"IxType":"ix_tip_tilt_move","motor":"cone","position_nm":5406250,"max_retries":3,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_tip_tilt_motion_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002835} sent for gateway 42204026	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:40.297 -05	0550	TRC:	IX Rx (16002836): FCH {"IxType":"ix_tip_tilt_motion_rsp","IxID":16002836,"motor":"flat","position_nm":5303750,"first_error_nm":-1250,"final_error_nm":-1250,"move_attempts":1,"Exception":"ix_exception_id_success","Message":""} for gateway 61583146	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:40.298 -05	0015	INF:	===================  ===================	-- LogBridge.cs,	Log,	31
